name,weight
Adolfo,0.0003641606205401944
Adrian,0.2242523954521503
Agnė,0.24567089216050952
Andi,2.676689842765015e-06
Anni,0.20279270117666442
Benedikt,8.501726252718126e-05
Charles,0.11853322777658071
Daniela,0.23481639487677403
Ella,0.014750069828476167
Fabian (Moe),7.593174624928658e-06
Fabian (Muc),0.03840918512269259
Felix,4.382852086925398e-06
Georg,0.10276035058792665
Hendrik,0.10046855759926648
Jana,0.0037732702083394087
Johannes,0.4637693946591358
Joseph,0.09232397417239863
Julian (Moe),2.663214415698473e-05
Julian (Muc),0.03749349437872146
Jürgen,0.35104422995337603
Laurin,7.143658402238313e-05
Leander,0.001862134014982501
Leo,0.5043721968783181
Linda,0.12121251902491065
Luis,0.0028192056536059133
Mantas,0.008981757921903123
Milena,0.20984040935158976
Mutlu,0.05710903907531088
Nicolo,0.5745471145728414
Patrick,6.707171132800481e-05
Paul,0.11526128698138025
Philip,0.3266055323292655
Riccardo,0.12144515522965166
Richard (Alt),6.841401773971978e-05
Richard (Neu),0.3730622122769973
Roman,0.6402609764785367
Sebastian (Moe),0.6475299437419821
Sebastian (Neu),0.13925614128175196
Simon (G),0.013393448908749932
Simon (Moe),0.3172828264133164
Stephan,0.001783892449540996
Thomas,0.07797786622323766
Valeria,0.30713272105080613
Victor,0.0004912047790019095
Vinicius,0.07604969834046141
~WEIGHT_A,0.20711327079162206
